File,Subject,Task,Run,Method,Rank,Rank_R1,Rank_R2,Original_Parameters,Compressed_Parameters,Compression_Ratio,Compression_Factor,Reconstruction_Error,Reconstruction_Error_Percent,Explained_Variance,Explained_Variance_Percent,Runtime_Seconds,Status
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/motor/run01_epochs.npz,002,motor,run01,TT,"(1, 5, 5, 1)",5,5,3068190,8120,0.9973534885388454,377.85591133004925,0.5211003195270322,52.11003195270322,0.728454457,72.8454457,0.48361803400075587,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/motor/run01_epochs.npz,002,motor,run01,TT,"(1, 5, 7, 1)",5,7,3068190,11222,0.9963424690126752,273.4084833363037,0.5049015705438789,50.490157054387886,0.7450744040623247,74.50744040623248,0.4762361279990728,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/motor/run01_epochs.npz,002,motor,run01,TT,"(1, 7, 5, 1)",7,5,3068190,8566,0.9972081259635159,358.1823488209199,0.48735475723644817,48.73547572364482,0.7624853405990029,76.24853405990028,0.46831360700161895,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/motor/run01_epochs.npz,002,motor,run01,TT,"(1, 7, 7, 1)",7,7,3068190,11788,0.9961579954305307,260.2807940278249,0.45531155142057356,45.53115514205736,0.7926913911429905,79.26913911429905,0.6325619359995471,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/motor/run01_epochs.npz,002,motor,run01,TT,"(1, 7, 10, 1)",7,10,3068190,16621,0.9945827996310528,184.59719631791108,0.4383382029403948,43.833820294039484,0.8078596198429853,80.78596198429852,0.4782465440002852,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/motor/run01_epochs.npz,002,motor,run01,TT,"(1, 10, 7, 1)",10,7,3068190,12637,0.9958812850573139,242.79417583287173,0.4103431176468405,41.03431176468405,0.8316185257998714,83.16185257998714,0.5235898459995951,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/motor/run01_epochs.npz,002,motor,run01,TT,"(1, 10, 10, 1)",10,10,3068190,17740,0.9942180894925021,172.9532130777903,0.37047816174041726,37.04781617404173,0.8627459316734413,86.27459316734412,0.49587208399861993,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/motor/run01_epochs.npz,002,motor,run01,TT,"(1, 10, 15, 1)",10,15,3068190,26245,0.9914460968844824,116.90569632310917,0.3623082,36.23081997,0.868732768,86.87327684,0.5551659020002262,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/motor/run01_epochs.npz,002,motor,run01,TT,"(1, 15, 10, 1)",15,10,3068190,19605,0.9936102392615842,156.50038255547054,0.30329268539546034,30.329268539546035,0.9080135469856103,90.80135469856103,0.5364432749993284,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/motor/run01_epochs.npz,002,motor,run01,TT,"(1, 15, 15, 1)",15,15,3068190,28860,0.9905938028609701,106.31288981288981,0.27916400718148243,27.916400718148243,0.9220674570943772,92.20674570943773,0.5737842230009846,Success
